Year,Genre,Streams,Number of Times Charted
2021,pop,1082882072,1493
2021,rap,513759421,313
2021,dance pop,461401713,678
2021,post-teen pop,370548618,364
2021,hip hop,324947659,134
2021,trap latino,323144314,427
2021,reggaeton,312577154,380
2021,pop rap,302023763,342
2021,latin,269389961,291
2021,canadian pop,158930608,186
2021,trap,142141103,73
2021,north carolina hip hop,132006207,46
2021,pop dance,131514816,276
2021,conscious hip hop,121034392,36
2021,uk pop,119817807,221
2021,reggaeton colombiano,117495801,129
2021,edm,103809331,239
2021,italian pop,102307931,39
2021,tropical house,94721205,210
2021,brooklyn drill,90720574,85
